x,y,z,Thickness_r1_1,r1P2_1,r1P3_1,Distance_r1_1,Thickness_r1_2,r1P2_2,r1P3_2,Distance_r1_2,Thickness_r1_3,r1P2_3,r1P3_3,Distance_r1_3,Thickness_r1_4,r1P2_4,r1P3_4,Distance_r1_4,Thickness_r1_5,r1P2_5,r1P3_5,Distance_r1_5,Thickness_r1_6,r1P2_6,r1P3_6,Distance_r1_6,Thickness_r1_7,r1P2_7,r1P3_7,Distance_r1_7,Thickness_r1_8,r1P2_8,r1P3_8,Distance_r1_8,Thickness_r1_9,r1P2_9,r1P3_9,Distance_r1_9,Thickness_r1_10,r1P2_10,r1P3_10,Distance_r1_10,Thickness_r2_1,r2P2_1,r2P3_1,Distance_r2_1,Thickness_r2_2,r2P2_2,r2P3_2,Distance_r2_2,Thickness_r2_3,r2P2_3,r2P3_3,Distance_r2_3,Thickness_r2_4,r2P2_4,r2P3_4,Distance_r2_4,Thickness_r2_5,r2P2_5,r2P3_5,Distance_r2_5,Thickness_r2_6,r2P2_6,r2P3_6,Distance_r2_6,Thickness_r2_7,r2P2_7,r2P3_7,Distance_r2_7,Thickness_r2_8,r2P2_8,r2P3_8,Distance_r2_8,Thickness_r2_9,r2P2_9,r2P3_9,Distance_r2_9,Thickness_r2_10,r2P2_10,r2P3_10,Distance_r2_10,A3MS
1113.31,-96.56,440,0.996036585,70,0.3,0.180508061,1.62E-06,0.4,0.4,0,1.985604917,0.4,0.4,0,3.068664654,0.4,0.4,19.13402818,5.415290542,70,0.3,53.97239574,3.610193695,24,0.136,5.415290542,4.512742119,3.1,0.32,84.22483673,0.997972828,1.15,0.43,28.15651914,0.11956514,1.15,0.43,10.27882177,2.646000001,44.8,0.35,,0.634886196,70,0.3,0.115058095,1.04E-06,0.4,0.4,0,1.265649433,0.4,0.4,0,1.956005276,0.4,0.4,1.150592386,0.477097411,24,0.136,9.600680961,2.102669873,2.4,0,9.53E-13,2.002554112,2.4,0,33.38800884,8.980236262,3.1,0.32,17.6702932,2.749244698,3.6,0.4,7.88091243,3.884126901,0.0239,0.4,1.886872491,59.4127
1092.9,-97.59,465.6,1.044157055,0.4,0.4,2.81E-12,1.416808954,44.8,0.35,1.883711904,8.050050873,44.8,0.35,0.257607542,0.80546668,44.8,0.35,3.734756099,0.112700712,44.8,0.35,5.313033576,4.830030524,70,0.3,48.00964557,3.252206283,24,0.136,7.917247227,4.06645738,3.1,0.32,66.93409895,0,1.15,0.43,26.82855717,0.332752543,1.15,0.43,10.7668136,0.732110194,0.4,0.4,2.03E-12,0.993394885,44.8,0.35,1.320763655,6.095832252,44.8,0.35,0.526578901,0.1175985,44.8,0.35,6.072526654,3.64480897,70,0.3,15.70243886,2.059707753,24,0.136,15.31789958,2.616932063,3.1,0.32,46.13532994,2.794712524,3.1,0.32,7.495401511,2.795677424,3.6,0.4,9.083299073,2.19941485,3.6,0.4,16.57944965,58.486
1001.05,-75.82,581.37,0.658393517,0.4,0.4,2.03E-12,0.893105223,44.8,0.35,1.18742399,5.683396874,44.8,0.35,5.835630719,3.044676897,70,0.3,16.03529832,2.029784631,24,0.136,13.45451413,4.752941145,3.1,0.32,61.47583746,2.646000003,44.8,0.35,,,,,,,,,,,,,,0.682670916,0.4,0.4,2.05E-12,0.926037309,44.8,0.35,1.231208695,5.892964696,44.8,0.35,6.050811965,3.156945373,70,0.3,15.58759823,3.143611014,24,0.136,12.62778146,2.630787811,3.1,0.32,132.6052476,0,1.15,0.43,4.293127082,0,1.15,0.43,18.93602805,27.29493703,,,,,,,,84.6581
1031.8,-76.52,542.74,0.731244098,0.4,0.4,2.07E-12,0.99841156,44.8,0.35,1.327433551,6.353528109,44.8,0.35,6.523711898,3.403675773,70,0.3,17.92602574,2.269117208,24,0.136,13.61470307,2.836396477,3.1,0.32,61.98771671,0,1.15,0.43,2.559279819,0,1.15,0.43,10.78255188,2.646,44.8,0.35,,,,,,0.69229458,0.4,0.4,2.05E-12,0.945231439,44.8,0.35,1.256728164,6.015109159,44.8,0.35,6.176228154,3.222379907,70,0.3,31.57932308,2.148253271,24,0.136,6.123381794,2.676676647,3.1,0.32,177.420176,3.11E-11,1.15,0.43,6.601573678,0.208389292,1.15,0.43,,,,,,,,,,88.8027
1045.35,-73.93,525.79,0.792625674,0.4,0.4,2.29E-12,1.071781166,44.8,0.35,1.424981777,6.820425601,44.8,0.35,7.003115573,3.653799429,70,0.3,19.11471218,3.782430913,24,0.136,15.62001184,2.500398535,3.1,0.32,68.23889876,0,1.15,0.43,2.512569764,0,1.15,0.43,10.16592832,2.646,44.8,0.35,,,,,,0.706013268,0.4,0.4,2.05E-12,0.954664664,44.8,0.35,1.269270065,6.075138771,44.8,0.35,6.237865703,3.254538627,70,0.3,32.43690165,2.169692418,24,0.136,3.254538627,2.712115523,3.1,0.32,175.5048277,6.592453752,,,62.20225972,4.059586617,3.45,0.3,,,,,,,,,,79.5003
1057.52,-78.58,510.41,0.846109865,0.4,0.4,2.50E-12,1.149131068,44.8,0.35,1.527821988,7.142894253,44.8,0.35,7.678284865,3.917492278,70,0.3,35.06588672,2.556100844,24,0.136,7.951505932,3.264576898,3.1,0.32,70.97807015,0,1.15,0.43,2.500102528,0,1.15,0.43,6.001352768,4,44.8,0.35,0,2.646,44.8,0.35,,0.709626531,0.4,0.4,1.98E-12,0.963768332,44.8,0.35,1.281373805,5.475956433,44.8,0.35,0.175234629,0.547694057,44.8,0.35,2.540741349,0.07666339,44.8,0.35,3.614131246,3.28557386,70,0.3,32.74621947,2.190382573,24,0.136,3.28557386,2.737978217,3.1,0.32,148.1177138,3.21319382,,,64.90217549,2.673209944,3.45,0.3,17.56621067,70.7727
983.46,17.37,655.59,0.202471461,2.1,0.32,4.183454656,0.512201844,,,4.764902565,2.423433047,,,1.551741782,0,,,2.545282853,2.801352068,,,0.404338223,0.74609003,,,2.809022952,4.172812001,,,3.668384184,2.780420027,,,3.104003479,4.326045105,,,19.69697303,5.766329503,,,1.806025078,0.200739351,2.1,0.32,4.246249783,0.532532234,,,4.817428819,2.378215656,,,1.563134703,0,,,2.563963506,3.57332057,,,2.755993348,4.776305133,,,3.707697868,2.696677753,,,3.126784763,3.508338167,,,20.69099265,5.86442926,,,1.329158944,50.81487659,3.1,0.32,3.012479999,69.7453
976.03,-42.62,613.47,0.557288235,70,0.3,0.100799066,0,70,0.3,1.108789444,1.713584115,0.4,0.4,6.550695992,17.73173318,24,0.136,13.2533792,27.89781295,,,6.174157817,3.326812221,3.1,0.32,36.12803856,2.646000012,44.8,0.35,,,,,,,,,,,,,,0.573271837,70,0.3,0.103690087,1.61E-13,0.4,0.4,1.14059067,1.762731477,0.4,0.4,1.503404747,3.996824724,24,0.136,8.380451388,0.221171252,70,0.3,11.09730086,2.851613751,24,0.136,16.91677325,9.320298491,,,9.527659136,2.985995012,3.1,0.32,49.74335721,3.669090941,44.8,0.35,0.097007588,6.284456926,44.8,0.35,11.96925781,75.3686
991.78,-49.55,593.55,0.652233839,0.4,0.4,2.05E-12,0.881659679,44.8,0.35,1.172206619,5.610561596,44.8,0.35,5.760844496,3.005657998,70,0.3,14.82860925,3.004961566,24,0.136,25.63342154,4.052003383,3.1,0.32,49.01727829,2.646000006,44.8,0.35,,,,,,,,,,,,,,0.681068373,0.4,0.4,1.96E-12,0.920636874,44.8,0.35,1.224028571,5.85859829,44.8,0.35,6.01552503,3.166839578,70,0.3,16.50131183,2.092356565,24,0.136,7.304169837,2.928713213,3.1,0.32,118.5427132,0,1.15,0.43,4.186097151,0,1.15,0.43,16.30065698,26.55516743,,,,,,,,85.4413
999.89,-47.83,583.41,0.663615486,0.4,0.4,1.88E-12,0.890619012,44.8,0.35,1.184118459,5.667575533,44.8,0.35,5.819385591,3.542234708,70,0.3,15.48462601,2.024134151,24,0.136,15.90440311,4.626463005,3.1,0.32,59.22738658,2.646000005,44.8,0.35,,,,,,,,,,,,,,0.689317566,0.4,0.4,1.96E-12,0.925113024,44.8,0.35,1.229979817,5.887082883,44.8,0.35,6.044772603,3.679426802,70,0.3,16.08435145,2.10252963,24,0.136,5.500423578,2.621144663,3.1,0.32,159.9366896,27.16842847,,,,,,,,,,,,,,,,84.7838
1012.81,-53.94,567.05,0.677716054,0.4,0.4,1.99E-12,0.9209494,44.8,0.35,1.224444089,5.89930883,44.8,0.35,5.978845369,3.603589637,70,0.3,16.43623566,0.944817376,24,0.136,83.95945315,2.646000002,44.8,0.35,,,,,,,,,,,,,,,,,,0.686425431,0.4,0.4,1.93E-12,0.932784587,44.8,0.35,1.240179507,5.988904495,44.8,0.35,6.041896706,3.179947454,70,0.3,16.74772326,2.119964992,24,0.136,13.4013848,3.798557943,3.1,0.32,182.7866394,28.21924638,,,,,,,,,,,,,,,,77.7334
1023.59,-50.7,553.58,0.705403119,0.4,0.4,2.10E-12,0.959641216,44.8,0.35,1.275886617,6.161380047,44.8,0.35,6.215810636,3.271504145,70,0.3,17.22992183,2.18100279,24,0.136,7.333132191,5.283877676,3.1,0.32,60.93503627,0,1.15,0.43,2.614772854,0,1.15,0.43,11.51519348,2.646000001,44.8,0.35,,,,,,0.690617157,0.4,0.4,2.15E-12,0.939526167,44.8,0.35,1.249142745,5.925420713,44.8,0.35,6.192331556,3.444989551,70,0.3,17.46991192,14.68625344,24,0.136,4.862528873,2.669108429,3.1,0.32,176.92202,0,1.15,0.43,4.559597452,1.298648821,1.15,0.43,0,1.437109651,1.15,0.43,,,,,,80.0813
