Type,Point X,Point Y, Point Z,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,A3MS
R1,966.89,494.74,722.65,1.72711287,A2979019700_4,70012,2.44E-06,71.7,0.21,0,2.021811903,A2979019700_4,70012,2.44E-06,71.7,0.21,0,0.050543882,A2979019700_23,,,,,2.27E-13,1.819533952,A2979019700_23,,,,,0,0.454850602,A2979019700_25,70010,1.10E-06,2.35,0.34,0,5.883654776,A2979019700_25,70010,1.10E-06,2.35,0.34,0,12.85490064,A2979019700_24,70010,1.10E-06,2.35,0.34,0,16.19678837,A2979019700_24,70010,1.10E-06,2.35,0.34,0,43.43360323,A2966800800_70,40007,1.03E-06,2.95,0.35,22.32231722,42.49493228,A2966800000_15,70031,2.70E-06,70,0.3,3.214190686,23.38688734,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9692
R1,966.82,469.85,722.77,1.729488427,A2979019700_4,70012,2.44E-06,71.7,0.21,0,2.017598281,A2979019700_4,70012,2.44E-06,71.7,0.21,0,0.050438819,A2979019700_13,70009,2.50E-06,22.54,0.23,9.65E-13,1.815760635,A2979019700_23,,,,,0,0.453910305,A2979019700_25,70010,1.10E-06,2.35,0.34,0,9.231290697,A2979019700_25,70010,1.10E-06,2.35,0.34,0,67.57307372,A2966800800_70,40007,1.03E-06,2.95,0.35,2.014491404,59.06397891,A2966800000_15,70031,2.70E-06,70,0.3,7.89E-06,3.012416113,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7063
R1,964.79,436.44,725.9,1.698070866,A2979019700_4,70012,2.44E-06,71.7,0.21,0,2.0113839,A2979019700_4,70012,2.44E-06,71.7,0.21,0,0.050283865,A2979019700_23,,,,,5.68E-14,1.810195431,A2979019700_23,,,,,5.68E-14,0.452538137,A2979019700_25,70010,1.10E-06,2.35,0.34,0,7.664636211,A2979019700_25,70010,1.10E-06,2.35,0.34,0,31.24139972,A2979019700_24,70010,1.10E-06,2.35,0.34,0,2.512791153,A2979019700_24,70010,1.10E-06,2.35,0.34,0,50.24073621,A2966800800_70,40007,1.03E-06,2.95,0.35,2.009068336,43.56671915,A2966800000_15,70031,2.70E-06,70,0.3,3,25.0593557,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3718
R1,961.29,391.9,731.36,1.638993495,A2979019700_4,70012,2.44E-06,71.7,0.21,0,2.003168392,A2979019700_4,70012,2.44E-06,71.7,0.21,0,0.050079009,A2979019700_13,70009,2.50E-06,22.54,0.23,4.14E-13,1.101234152,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0.701603613,A2979019700_23,,,,,1.27E-13,3.605142343,A2979019700_25,70010,1.10E-06,2.35,0.34,0,9.11E-13,A2979019700_25,70010,1.10E-06,2.35,0.34,0,3.005154694,A2979019700_25,70010,1.10E-06,2.35,0.34,0,11.24803767,A2979019700_23,,,,,0,0.811741784,A2979019700_23,,,,,0,69.84708868,A2966800800_70,40007,1.03E-06,2.95,0.35,3.455011508,40.21015561,A2966800000_15,70031,2.70E-06,70,0.3,4.99968705,0,A2966800000_15,70031,2.70E-06,70,0.3,3,25.89821825,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8962
R1,961.58,369.88,730.9,1.641688266,A2979019700_4,70012,2.44E-06,71.7,0.21,0,2.003662737,A2979019700_4,70012,2.44E-06,71.7,0.21,0,0.050091336,A2979019700_23,,,,,1.71E-13,1.101490812,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0.701789692,A2979019700_23,,,,,0,3.6060082,A2979019700_25,70010,1.10E-06,2.35,0.34,0,7.21E-13,A2979019700_25,70010,1.10E-06,2.35,0.34,0,7.062313272,A2979019700_25,70010,1.10E-06,2.35,0.34,0,7.140573225,A2979019700_23,,,,,0,0.8122436,A2979019700_23,,,,,0,1.472144543,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0.101431435,A2979019700_25,70010,1.10E-06,2.35,0.34,0,9.732543715,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0.146926026,A2979019700_25,70010,1.10E-06,2.35,0.34,0,46.70057143,A2966800800_70,40007,1.03E-06,2.95,0.35,2.003020905,58.43470228,A2966800000_15,70031,2.70E-06,70,0.3,3.000000001,25.82315212,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7988
R1,964.43,339.55,726.42,1.671871268,A2979019700_4,70012,2.44E-06,71.7,0.21,0,2.010364107,A2979019700_4,70012,2.44E-06,71.7,0.21,0,0.050258437,A2979019700_13,70009,2.50E-06,22.54,0.23,6.23E-13,1.809282146,A2979019700_13,70009,2.50E-06,22.54,0.23,2.27E-13,0.452311904,A2979019700_25,70010,1.10E-06,2.35,0.34,0,6.176252683,A2979019700_25,70010,1.10E-06,2.35,0.34,0,10.72383618,A2979019700_23,,,,,0,0.817700712,A2979019700_23,,,,,0,21.16957653,A2979019700_24,70010,1.10E-06,2.35,0.34,0,2.511646034,A2979019700_24,70010,1.10E-06,2.35,0.34,0,35.1560629,A2966800800_70,40007,1.03E-06,2.95,0.35,2.008542014,58.60921832,A2966800000_15,70031,2.70E-06,70,0.3,3,25.13584653,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4181
R1,965.47,293.42,724.82,1.693578924,A2979019700_4,70012,2.44E-06,71.7,0.21,0,2.013599194,A2979019700_4,70012,2.44E-06,71.7,0.21,0,0.050339103,A2979019700_13,70009,2.50E-06,22.54,0.23,1.61E-13,1.812179337,A2979019700_23,,,,,6.65E-13,0.485724141,A2979019700_25,70010,1.10E-06,2.35,0.34,0,8.224948463,A2979019700_25,70010,1.10E-06,2.35,0.34,0,8.48922295,A2979019700_23,,,,,0,0.819907501,A2979019700_23,,,,,0,21.37981275,A2979019700_24,70010,1.10E-06,2.35,0.34,0,2.515278115,A2979019700_24,70010,1.10E-06,2.35,0.34,0,58.54631344,A2966800800_70,40007,1.03E-06,2.95,0.35,2.062668021,35.3002753,A2966800000_15,70031,2.70E-06,70,0.3,3,24.90747057,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0102
R1,964.15,268.43,726.85,1.664903652,A2979019700_4,70012,2.44E-06,71.7,0.21,0,2.009568624,A2979019700_4,70012,2.44E-06,71.7,0.21,0,0.050238601,A2979019700_23,,,,,0,1.808569739,A2979019700_23,,,,,2.34E-13,0.452135213,A2979019700_25,70010,1.10E-06,2.35,0.34,0,10.24686339,A2979019700_25,70010,1.10E-06,2.35,0.34,0,28.62593837,A2979019700_24,70010,1.10E-06,2.35,0.34,0,2.510752676,A2979019700_24,70010,1.10E-06,2.35,0.34,0,58.55843761,A2966800800_70,40007,1.03E-06,2.95,0.35,2.054785072,35.12729664,A2966800000_15,70031,2.70E-06,70,0.3,3,25.1990847,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4368
R1,961.18,308,731.52,1.630214738,A2979019700_4,70012,2.44E-06,71.7,0.21,0,2.003001071,A2979019700_4,70012,2.44E-06,71.7,0.21,0,0.050074837,A2979019700_23,,,,,4.86E-13,1.10114753,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0.70154038,A2979019700_13,70009,2.50E-06,22.54,0.23,2.78E-13,3.604849514,A2979019700_25,70010,1.10E-06,2.35,0.34,0,5.93E-13,A2979019700_25,70010,1.10E-06,2.35,0.34,0,3.004903773,A2979019700_25,70010,1.10E-06,2.35,0.34,0,11.2663002,A2979019700_23,,,,,0,0.811565739,A2979019700_23,,,,,0,81.66931013,A2966800800_70,40007,1.03E-06,2.95,0.35,2.038776736,29.77627122,A2966800000_15,70031,2.70E-06,70,0.3,4.999731856,0,A2966800000_15,70031,2.70E-06,70,0.3,3,25.92515511,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4199
R1,963.53,192.3,727.81,1.652608864,A2979019700_4,70012,2.44E-06,71.7,0.21,0,2.007906628,A2979019700_4,70012,2.44E-06,71.7,0.21,0,0.050197159,A2979019700_23,,,,,0,1.103721501,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0.560802321,A2979019700_13,70009,2.50E-06,22.54,0.23,3.77E-13,3.75602489,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0,A2979019700_23,,,,,0,4.417603441,A2979019700_25,70010,1.10E-06,2.35,0.34,0,2.421016391,A2979019700_23,,,,,0,0.407943645,A2979019700_23,,,,,0,7.19E-13,A2979019700_23,,,,,0,0.509929556,A2979019700_23,,,,,0,27.92417456,A2979019700_24,70010,1.10E-06,2.35,0.34,0,2.508885868,A2979019700_24,70010,1.10E-06,2.35,0.34,0,35.11908366,A2966800800_70,40007,1.03E-06,2.95,0.35,2.00651842,55.10882426,A2966800000_15,70031,2.70E-06,70,0.3,1.890278137,0,A2966800000_15,70031,2.70E-06,70,0.3,1.506119196,0,A2966800000_15,70031,2.70E-06,70,0.3,0.040313875,0,A2966800000_15,70031,2.70E-06,70,0.3,3.000000264,25.34606068,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6075
R1,966.6,142.08,723.04,1.679959025,A2979019700_4,70012,2.44E-06,71.7,0.21,0,2.005893027,A2979019700_4,70012,2.44E-06,71.7,0.21,0,0.050146948,A2979019700_23,,,,,0,1.662862409,A2979019700_23,,,,,0,0.593640333,A2979019700_25,70010,1.10E-06,2.35,0.34,0,3.316224089,A2979019700_25,70010,1.10E-06,2.35,0.34,0,6.027648485,A2979019700_23,,,,,0,0.40645243,A2979019700_23,,,,,0,1.33E-12,A2979019700_23,,,,,0,0.508065537,A2979019700_23,,,,,0,28.54742656,A2979019700_24,70010,1.10E-06,2.35,0.34,0,2.506621563,A2979019700_24,70010,1.10E-06,2.35,0.34,0,35.08874305,A2966800800_70,40007,1.03E-06,2.95,0.35,2.004857864,57.27175831,A2966800000_15,70031,2.70E-06,70,0.3,3.006898586,26.20321234,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5212
R1,956.67,149.92,738.68,1.547765893,A2979019700_4,70012,2.44E-06,71.7,0.21,0,2.002600581,A2979019700_4,70012,2.44E-06,71.7,0.21,0,0.050064851,A2979019700_23,,,,,0,1.101138661,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0.559007226,A2979019700_23,,,,,4.14E-13,3.746519186,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0,A2979019700_23,,,,,0,7.59307039,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0.501253557,A2979019700_23,,,,,0,0.401084788,A2979019700_23,,,,,0,1.23E-12,A2979019700_23,,,,,0,0.501355985,A2979019700_23,,,,,0,26.59458733,A2979019700_24,70010,1.10E-06,2.35,0.34,0,2.502927635,A2979019700_24,70010,1.10E-06,2.35,0.34,0,35.03924067,A2966800800_70,40007,1.03E-06,2.95,0.35,2.002148281,18.2282378,A2968311600_1,70013,9.50E-07,1.15,0.43,8.274547538,29.2398951,A2966800000_15,70031,2.70E-06,70,0.3,0.039206592,3.02E-13,A2966800000_15,70031,2.70E-06,70,0.3,1.537248154,3.60E-13,A2966800000_15,70031,2.70E-06,70,0.3,0.22228651,1.63E-13,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.852
R1,956.74,171.64,738.57,1.548483272,A2979019700_4,70012,2.44E-06,71.7,0.21,0,2.00024403,A2979019700_4,70012,2.44E-06,71.7,0.21,0,0.050006088,A2979019700_23,,,,,0,1.099848957,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0.558352501,A2979019700_23,,,,,6.15E-13,3.742165173,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0,A2979019700_23,,,,,0,7.640990408,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0.502874492,A2979019700_23,,,,,0,0.402381802,A2979019700_23,,,,,0,9.17E-13,A2979019700_23,,,,,0,0.502977252,A2979019700_23,,,,,0,26.50262754,A2979019700_24,70010,1.10E-06,2.35,0.34,0,2.500275197,A2979019700_24,70010,1.10E-06,2.35,0.34,0,35.00368886,A2966800800_70,40007,1.03E-06,2.95,0.35,2.000201965,18.9256059,A2968311600_1,70013,9.50E-07,1.15,0.43,2.585776449,8.974471842,A2968311600_1,70013,9.50E-07,1.15,0.43,3.16860571,19.59210188,A2966800000_15,70031,2.70E-06,70,0.3,0.443420475,2.84921098,A2966800000_15,70031,2.70E-06,70,0.3,1.524998884,0.15947277,A2966800000_15,70031,2.70E-06,70,0.3,3.000530992,27.40368172,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1426
R1,954.99,120.01,741.39,1.529097109,A2979019700_4,70012,2.44E-06,71.7,0.21,0,2.019288986,A2979019700_4,70012,2.44E-06,71.7,0.21,0,0.050480978,A2979019700_23,,,,,0,1.673914838,A2979019700_13,70009,2.50E-06,22.54,0.23,1.14E-13,3.515014359,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0.262426802,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0,A2979019700_23,,,,,0,7.877696997,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0.499923243,A2979019700_23,,,,,0,0.40002032,A2979019700_23,,,,,0,1.53E-12,A2979019700_23,,,,,0,0.55002794,A2979019700_23,,,,,0,26.54296036,A2979019700_24,70010,1.10E-06,2.35,0.34,0,2.521678475,A2979019700_24,70010,1.10E-06,2.35,0.34,0,35.29043032,A2966800800_70,40007,1.03E-06,2.95,0.35,2.015892667,56.68109137,A2966800000_15,70031,2.70E-06,70,0.3,3.00006299,31.05711792,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.149
R1,956.27,92.14,739.32,1.553125607,A2979019700_4,70012,2.44E-06,71.7,0.21,0,2.021250999,A2979019700_4,70012,2.44E-06,71.7,0.21,0,0.050529899,A2979019700_23,,,,,0,1.111360033,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0.564173469,A2979019700_23,,,,,0,3.781006622,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0,A2979019700_23,,,,,0,7.562399278,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0.499997438,A2979019700_23,,,,,0,0.400079688,A2979019700_23,,,,,0,1.86E-12,A2979019700_23,,,,,0,0.50009961,A2979019700_23,,,,,0,26.94098218,A2979019700_24,70010,1.10E-06,2.35,0.34,0,2.523881319,A2979019700_24,70010,1.10E-06,2.35,0.34,0,93.56791474,A2966800000_15,70031,2.70E-06,70,0.3,3.000000946,31.46639309,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6294
R1,958.88,71.85,735.12,1.57576264,A2979019700_4,70012,2.44E-06,71.7,0.21,0,2.007116098,A2979019700_4,70012,2.44E-06,71.7,0.21,0,0.050177448,A2979019700_23,,,,,0,1.10349784,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0.560373764,A2979019700_23,,,,,4.11E-13,3.754752777,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0,A2979019700_23,,,,,0,3.010874413,A2979019700_25,70010,1.10E-06,2.35,0.34,0,4.516726618,A2979019700_23,,,,,0,0.400244342,A2979019700_23,,,,,0,2.15E-12,A2979019700_23,,,,,0,0.500305427,A2979019700_23,,,,,0,15.81002148,A2979019700_25,70010,1.10E-06,2.35,0.34,0,1.600977365,A2979019700_25,70010,1.10E-06,2.35,0.34,0,9.828057485,A2979019700_24,70010,1.10E-06,2.35,0.34,0,2.508007948,A2979019700_24,70010,1.10E-06,2.35,0.34,0,42.48627344,A2979019700_24,70010,1.10E-06,2.35,0.34,0,1.95069599,A2979019700_24,70010,1.10E-06,2.35,0.34,0,3.838138944,A2979019700_24,70010,1.10E-06,2.35,0.34,0,1.99014335,A2979019700_24,70010,1.10E-06,2.35,0.34,0,20.41992377,A2966800000_15,70031,2.70E-06,70,0.3,24.13072185,1.71E-06,A2966800000_15,70031,2.70E-06,70,0.3,3.18363999,22.76860465,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.4977
R1,963.46,59.78,727.88,1.624622967,A2979019700_4,70012,2.44E-06,71.7,0.21,0,2.000455759,A2979019700_4,70012,2.44E-06,71.7,0.21,0,0.050011367,A2979019700_23,,,,,0,1.658376113,A2979019700_23,,,,,3.22E-13,0.592133214,A2979019700_25,70010,1.10E-06,2.35,0.34,0,9.280098771,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0.501808864,A2979019700_23,,,,,0,0.401529125,A2979019700_23,,,,,0,2.30E-12,A2979019700_23,,,,,0,0.501911406,A2979019700_23,,,,,0,15.86085659,A2979019700_25,70010,1.10E-06,2.35,0.34,0,1.606116498,A2979019700_25,70010,1.10E-06,2.35,0.34,0,10.55381911,A2979019700_24,70010,1.10E-06,2.35,0.34,0,2.500514579,A2979019700_24,70010,1.10E-06,2.35,0.34,0,0.531224825,A2979019700_23,,,,,0,38.0211979,A2979019700_23,,,,,0,0.718010071,A2979019700_24,70010,1.10E-06,2.35,0.34,0,2.027473495,A2979019700_24,70010,1.10E-06,2.35,0.34,0,9.125952665,A2979019700_24,70010,1.10E-06,2.35,0.34,0,1.918507637,A2979019700_24,70010,1.10E-06,2.35,0.34,0,17.74619564,A2966800000_15,70031,2.70E-06,70,0.3,1.265793574,9.816026165,A2979019700_23,,,,,0.005987368,5.877419371,N000000004661_1_1,40038,0,40038,0,0.011127971,8.237762255,A2966800000_15,70031,2.70E-06,70,0.3,3,21.85462176,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3421
R1,965.83,38.9,724.2,1.651960971,A2979019700_4,70012,2.44E-06,71.7,0.21,0,2.00002311,A2979019700_4,70012,2.44E-06,71.7,0.21,0,0.050000577,A2979019700_23,,,,,0,1.658019107,A2979019700_13,70009,2.50E-06,22.54,0.23,2.91E-13,0.591942167,A2979019700_25,70010,1.10E-06,2.35,0.34,0,8.831907295,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0.502328191,A2979019700_23,,,,,0,0.401944671,A2979019700_23,,,,,0,2.65E-12,A2979019700_23,,,,,0,2.612640364,A2979019700_23,,,,,0,13.7672088,A2979019700_25,70010,1.10E-06,2.35,0.34,0,1.607778684,A2979019700_25,70010,1.10E-06,2.35,0.34,0,10.97461384,A2979019700_24,70010,1.10E-06,2.35,0.34,0,2.500026494,A2979019700_24,70010,1.10E-06,2.35,0.34,0,0.333360714,A2979019700_23,,,,,0,36.18695894,A2979019700_24,70010,1.10E-06,2.35,0.34,0,1.850699686,A2979019700_23,,,,,0,0.194580792,A2979019700_24,70010,1.10E-06,2.35,0.34,0,23.40945604,A2966800000_15,70031,2.70E-06,70,0.3,4.608338279,26.11557025,A2966800000_15,70031,2.70E-06,70,0.3,3.000074046,27.68646137,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4651
R1,965.58,-2.28,724.59,1.651203404,A2979019700_4,70012,2.44E-06,71.7,0.21,0,2.000089658,A2979019700_4,70012,2.44E-06,71.7,0.21,0,0.050002237,A2979019700_23,,,,,0,1.658074018,A2979019700_23,,,,,3.22E-13,0.591975428,A2979019700_25,70010,1.10E-06,2.35,0.34,0,4.140943058,A2979019700_25,70010,1.10E-06,2.35,0.34,0,5.265501446,A2979019700_23,,,,,0,0.402582046,A2979019700_23,,,,,0,3.12E-12,A2979019700_23,,,,,0,0.503227557,A2979019700_23,,,,,0,15.9028863,A2979019700_25,70010,1.10E-06,2.35,0.34,0,1.610328181,A2979019700_25,70010,1.10E-06,2.35,0.34,0,10.87411557,A2979019700_24,70010,1.10E-06,2.35,0.34,0,2.500100111,A2979019700_24,70010,1.10E-06,2.35,0.34,0,0.391765317,A2979019700_23,,,,,0,38.06716594,A2979019700_23,,,,,0,43.65133118,N000000004661_1_1,40038,0,40038,0,4.626068569,8.551133331,A2966800000_15,70031,2.70E-06,70,0.3,3,21.29806413,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2607
