Type,Point X,Point Y, Point Z,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance
R1,1113.31,-96.56,440,1.176542643,A2149012402_2_1014907_BODY_384_JT,46063,2.66E-06,70,0.3,1.985600411,3.068655181,A2149012402_2_697230_BODY_24_JT,46095,1.10E-06,2.2,0.36,21.07063792,5.283694814,A2149012402_2_1272049_VOLUME46_JT,46064,1.81E-06,44.8,0.35,52.16713808,3.610182566,A2149012402_2_1174758_VOLUME46_JT,46101,1.05E-06,3.1,0.32,9.025456416,4.512728208,A2146801901_701,40000,1.04E-06,3.45,0.3,81.61286409,26.6311907,A2146801901_699,40000,1.04E-06,3.45,0.3,11.92378126,2.646000003,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,1092.9,-97.59,465.6,1.044155149,A2149012402_2_1014907_BODY_384_JT,46063,2.66E-06,70,0.3,23.18410418,4.830021703,A2149012402_2_1272049_VOLUME46_JT,46064,1.81E-06,44.8,0.35,46.39955124,3.252200189,A2149012402_2_1174758_VOLUME46_JT,46101,1.05E-06,3.1,0.32,7.917229678,4.066449829,A2146801901_701,40000,1.04E-06,3.45,0.3,66.93420477,25.37163058,A2146801901_699,40000,1.04E-06,3.45,0.3,12.55655533,2.646000002,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,1001.05,-75.82,581.37,0.658394178,A2149012402_2_1014907_BODY_384_JT,46063,2.66E-06,70,0.3,14.61446378,3.044679954,A2149012402_2_1272049_VOLUME46_JT,46064,1.81E-06,44.8,0.35,15.02042111,2.02973856,A2149012402_2_1174758_VOLUME46_JT,46101,1.05E-06,3.1,0.32,13.45498564,4.752985821,A2146801901_701,40000,1.04E-06,3.45,0.3,61.47533392,2.646000009,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,1031.8,-76.52,542.74,0.731244901,A2149012402_2_1014907_BODY_384_JT,46063,2.66E-06,70,0.3,15.71176102,4.254275398,A2149012402_2_1272049_VOLUME46_JT,46064,1.81E-06,44.8,0.35,16.5667903,2.269066883,A2149012402_2_1174758_VOLUME46_JT,46101,1.05E-06,3.1,0.32,13.61477083,2.836399591,A2146801901_701,40000,1.04E-06,3.45,0.3,61.88523117,2.559278671,A2146801901_699,40000,1.04E-06,3.45,0.3,10.88497712,2.646000001,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,1045.35,-73.93,525.79,0.792625693,A2149012402_2_1014907_BODY_384_JT,46063,2.66E-06,70,0.3,17.53823767,3.653799514,A2149012402_2_1272049_VOLUME46_JT,46064,1.81E-06,44.8,0.35,19.12843154,2.000253476,A2149012402_2_1174758_VOLUME46_JT,46101,1.05E-06,3.1,0.32,17.41755314,2.547553276,A2146801901_701,40000,1.04E-06,3.45,0.3,66.84422392,2.512569756,A2146801901_699,40000,1.04E-06,3.45,0.3,10.26643156,2.646,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,1057.52,-78.58,510.41,0.84610926,A2149012402_2_1014907_BODY_384_JT,46063,2.66E-06,70,0.3,18.80394947,3.917489473,A2149012402_2_1272049_VOLUME46_JT,46064,1.81E-06,44.8,0.35,36.87431373,2.014983209,A2149012402_2_1174758_VOLUME46_JT,46101,1.05E-06,3.1,0.32,7.989993752,3.159587373,A2146801901_701,40000,1.04E-06,3.45,0.3,68.37144559,2.500102548,A2146801901_699,40000,1.04E-06,3.45,0.3,10.10135575,2.646,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,983.46,17.37,655.59,0.202469516,A2146801901_705,40016,1.10E-06,2.39E-02,0.4,4.185320056,113.9829635,A2146801901_701,40000,1.04E-06,3.45,0.3,2.992857627,25.19159487,A2146802402_4_568301_OUT_HALTER_IT_MITTE_JT,46037,1.69E-06,13.9395,0.35,5.000000062,0,A2146802402_4_568301_OUT_HALTER_IT_MITTE_JT,46037,1.69E-06,13.9395,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,976.03,-42.62,613.47,0.658086343,A2149012402_2_1014907_BODY_384_JT,46063,2.66E-06,70,0.3,1.108788109,1.713581624,A2149012402_2_693987_BODY_22_JT,46095,1.10E-06,2.2,0.36,10.36045063,9.049362128,A2149012402_2_1174758_VOLUME46_JT,46101,1.05E-06,3.1,0.32,1.142067246,3.347719452,A2149012402_2_1174758_VOLUME46_JT,46101,1.05E-06,3.1,0.32,47.70894526,3.326845928,A2146801901_701,40000,1.04E-06,3.45,0.3,36.12724422,2.646000037,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,991.78,-49.55,593.55,0.652234184,A2149012402_2_1014907_BODY_384_JT,46063,2.66E-06,70,0.3,14.42716603,3.005659589,A2149012402_2_1272049_VOLUME46_JT,46064,1.81E-06,44.8,0.35,13.83200272,2.999645558,A2149012402_2_1174758_VOLUME46_JT,46101,1.05E-06,3.1,0.32,25.63412857,4.052048892,A2146801901_701,40000,1.04E-06,3.45,0.3,49.01655282,2.64600002,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,999.89,-47.83,583.41,0.663616229,A2149012402_2_1014907_BODY_384_JT,46063,2.66E-06,70,0.3,13.56171378,5.060340961,A2149012402_2_1272049_VOLUME46_JT,46064,1.81E-06,44.8,0.35,13.96654105,2.024090896,A2149012402_2_1174758_VOLUME46_JT,46101,1.05E-06,3.1,0.32,15.9049836,4.626514932,A2146801901_701,40000,1.04E-06,3.45,0.3,59.22676027,2.646000015,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
