x,y,z,Thickness_r1_1,r1P2_1,r1P3_1,Distance_r1_1,Thickness_r1_2,r1P2_2,r1P3_2,Distance_r1_2,Thickness_r1_3,r1P2_3,r1P3_3,Distance_r1_3,Thickness_r1_4,r1P2_4,r1P3_4,Distance_r1_4,Thickness_r1_5,r1P2_5,r1P3_5,Distance_r1_5,Thickness_r1_6,r1P2_6,r1P3_6,Distance_r1_6,Thickness_r1_7,r1P2_7,r1P3_7,Distance_r1_7,Thickness_r1_8,r1P2_8,r1P3_8,Distance_r1_8,Thickness_r1_9,r1P2_9,r1P3_9,Distance_r1_9,Thickness_r1_10,r1P2_10,r1P3_10,Distance_r1_10,Thickness_r2_1,r2P2_1,r2P3_1,Distance_r2_1,Thickness_r2_2,r2P2_2,r2P3_2,Distance_r2_2,Thickness_r2_3,r2P2_3,r2P3_3,Distance_r2_3,Thickness_r2_4,r2P2_4,r2P3_4,Distance_r2_4,Thickness_r2_5,r2P2_5,r2P3_5,Distance_r2_5,Thickness_r2_6,r2P2_6,r2P3_6,Distance_r2_6,Thickness_r2_7,r2P2_7,r2P3_7,Distance_r2_7,Thickness_r2_8,r2P2_8,r2P3_8,Distance_r2_8,Thickness_r2_9,r2P2_9,r2P3_9,Distance_r2_9,Thickness_r2_10,r2P2_10,r2P3_10,Distance_r2_10,A3MS
945.42,516.84,551.58,2.541749248,69,0.22,0.000503056,2.000168046,69,0.22,10.28751476,11.92043294,69,0.22,22.60775287,2.500838414,2.95,0.35,2.783194483,10.65777189,0.006304,0.07,86.29599366,5.194285441,70,0.3,0,2.750296595,70,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,5.013717716,69,0.22,0.001079335,3.945336763,69,0.22,14.56100895,2.862154041,69,0.22,1.804816631,2.658789991,69,0.22,44.42778504,1.21751517,3.35,0.316,0,0.507112558,3.35,0.316,1.61E-13,3.040541056,3.35,0.316,1.012752929,2.530367292,2.55,0.36,3.322678409,2.519805962,2.95,0.35,19.78689062,2.930497498,2.45,0.33,0.1172199,25.3303
944.47,317.21,563.32,1.124573887,69,0.22,0.300215042,0.830594949,69,0.22,5.672547229,1.801296697,69,0.22,26.28012755,2.966196068,69,0.22,108.8526264,2.652035885,70,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15816416,69,0.22,0.576141195,1.59399064,69,0.22,10.88606956,3.456839628,69,0.22,4.575323295,4.157244555,69,0.22,9.0570759,4.801169727,69,0.22,39.8242631,1.277606555,3.35,0.316,0,0.531465362,3.35,0.316,3.64E-13,3.178776707,3.35,0.316,1.056026777,2.632985525,2.55,0.36,3.562350807,2.603573062,2.95,0.35,28.34803642,25.4864
947.56,516.3,535.16,2.972026786,69,0.22,0.000669587,2.012454674,69,0.22,9.82624621,2.717714756,69,0.22,3.89094208,8.428067051,69,0.22,21.55884332,3.242379372,2.95,0.35,6.271090374,11.62315037,0.006304,0.07,85.75250513,2.74496436,70,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,6.060930453,69,0.22,0.001481714,4.103934224,69,0.22,1.610602384,2.740637331,69,0.22,47.67634904,1.201130081,3.35,0.316,0,0.500459813,3.35,0.316,0,3.002631031,3.35,0.316,1.00083124,4.229391488,2.55,0.36,1.332921433,2.500247403,2.95,0.35,12.63953333,2.891243309,2.45,0.33,0.115649732,3.238192505,2.3,0.4,12.82580295,25.7803
944.03,429.13,567.44,1.119116655,69,0.22,0.300612622,0.831694921,69,0.22,5.679128206,2.36482712,69,0.22,26.29602654,2.705513599,69,0.22,10.42141342,2.505105158,2.95,0.35,0.022998512,10.1043882,0.006304,0.07,85.69353395,2.652828227,70,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.124883949,69,0.22,0.570777794,1.579151896,69,0.22,10.78296359,3.424659548,69,0.22,8.200892887,2.88759147,69,0.22,7.103183493,2.652528995,69,0.22,45.86724592,1.274587316,3.35,0.316,0,0.530241805,3.35,0.316,3.60E-13,3.171838227,3.35,0.316,1.053859243,2.627859706,2.55,0.36,3.594652253,2.599602447,2.95,0.35,27.977252,25.8477
946.63,411.51,543.02,1.154730037,69,0.22,0.30123186,0.833408147,69,0.22,5.690891663,2.195672897,69,0.22,2.576502663,15.08214944,69,0.22,22.01946758,2.510265541,2.95,0.35,3.842561085,10.6283387,0.006304,0.07,81.53578372,2.650048393,70,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.316026237,69,0.22,0.604176621,1.671555318,69,0.22,5.78250346,2.043800082,69,0.22,2.058869093,2.973616136,69,0.22,2.006628401,2.620726983,69,0.22,45.66084408,1.213583845,3.35,0.316,0,0.505515062,3.35,0.316,0,3.031422622,3.35,0.316,1.009879691,2.523515207,2.55,0.36,3.207963885,2.513852872,2.95,0.35,18.03497801,25.8996
944.52,469.57,562.88,1.128070407,69,0.22,0.300151256,0.830418475,69,0.22,5.670055461,1.800914021,69,0.22,12.09612607,9.717662007,69,0.22,18.10930089,2.884119567,0.006304,0.07,8.329284727,1.850561414,0.006304,0.07,86.03819302,2.66292737,70,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.167512014,69,0.22,0.576720611,1.595593689,69,0.22,10.894545,3.460316085,69,0.22,4.279666482,4.866601133,69,0.22,8.663884507,4.805747737,69,0.22,41.59596298,1.25030627,3.35,0.316,0,0.520400501,3.35,0.316,0,3.11597372,2.55,0.36,3.41E-13,1.347077217,2.55,0.36,5.33E-13,2.275702189,2.55,0.36,3.50594945,26.5449
946.49,400.17,544.31,1.149516467,69,0.22,0.301021269,0.832825511,69,0.22,5.687013533,2.406200334,69,0.22,9.965777527,8.27365088,69,0.22,21.19878961,2.508510609,2.95,0.35,3.504702908,10.5877115,0.006304,0.07,81.83845855,2.650005534,70,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.300056117,69,0.22,0.602310477,1.66639232,69,0.22,7.289510505,2.045754289,69,0.22,2.009434749,2.976056129,69,0.22,1.907324122,2.625838351,69,0.22,45.21493668,1.21638308,3.35,0.316,0,0.506650599,3.35,0.316,0,3.037881854,3.35,0.316,1.011906805,2.528332751,2.55,0.36,3.231835372,2.517488626,2.95,0.35,18.73666262,26.6802
944.6,302.9,562.11,1.127090383,69,0.22,0.300136772,0.830378402,69,0.22,7.32167441,1.800822366,69,0.22,23.97709901,3.202919932,69,0.22,16.98006912,5.878425663,2.95,0.35,86.36809371,2.651823823,70,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.169548334,69,0.22,0.577736482,1.598404268,69,0.22,14.09346224,3.466402092,69,0.22,2.128532296,5.434967032,69,0.22,5.580241363,6.24044562,69,0.22,38.8819495,1.274832638,3.35,0.316,0,0.530338742,3.35,0.316,4.86E-13,3.172354498,3.35,0.316,1.054006641,2.628175504,2.55,0.36,3.545782461,2.599617425,2.95,0.35,18.12879898,26.7812
946.89,487.36,540.56,1.156737785,69,0.22,0.301379374,0.833816267,69,0.22,5.739179181,1.801567982,69,0.22,1.583655248,6.056499497,69,0.22,32.40707437,2.511494818,2.95,0.35,5.323593677,10.95021368,0.006304,0.07,82.91188888,2.675129794,70,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.312441795,69,0.22,0.020258924,0,69,0.22,0.607767716,0.687279651,69,0.22,3.925095004,2.664832871,69,0.22,1.754747117,2.703620773,69,0.22,2.203489635,2.611783165,69,0.22,46.95143984,1.20564679,3.35,0.316,0,0.502294532,3.35,0.316,0,3.013094898,3.35,0.316,4.592423973,2.50335066,2.95,0.35,3.414589021,27.0641
945.08,335.43,557.55,1.127298455,69,0.22,0.300000256,0.830000709,69,0.22,5.668315435,1.800008215,69,0.22,23.12289432,3.293080925,69,0.22,111.5649747,2.651173333,70,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.193836029,69,0.22,0.583830633,1.615264752,69,0.22,11.03101867,3.598100422,69,0.22,0.070442882,2.785321151,69,0.22,7.976282196,1.743845313,69,0.22,3.249776616,2.687310977,69,0.22,40.01941305,1.25429143,3.35,0.316,0,0.522015103,3.35,0.316,0,3.125131911,3.35,0.316,1.03923723,2.593187527,2.55,0.36,3.462490619,27.0949
