num,Type,PointX,PointY, PointZ,Distance0,Thickness1,P1_1,P2_1,P3_1,Distance1,Thickness2,P1_2,P2_2,P3_2,Distance2,Thickness3,P1_3,P2_3,P3_3,Distance3,Thickness4,P1_4,P2_4,P3_4,Distance4,Thickness5,P1_5,P2_5,P3_5,Distance5,Thickness6,P1_6,P2_6,P3_6,Distance6,Thickness7,P1_7,P2_7,P3_7,Distance7,Thickness8,P1_8,P2_8,P3_8,Distance8,Thickness9,P1_9,P2_9,P3_9,Distance_9,Thickness10,P1_10,P2_10,P3_10,Distance10,Thickness11,P1_11,P2_11,P3_11,Distance11,Thickness12,P1_12,P2_12,P3_12,Distance12,Thickness13,P1_13,P2_13,P3_13,Distance13,Thickness14,P1_14,P2_14,P3_14,Distance14,Thickness15,P1_15,P2_15,P3_15,a3ms
11,R1,853.01,-78.04,544.22,0.00,0.65,2.44,71.70,0.21,34.88,3.26,2.44,71.70,0.21,12.00,2.51,1.80,45.00,0.35,33.03,1.52,0.95,1.15,0.43,42.65,1.58,0.95,1.15,0.43,9.71,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.23
12,R1,853.05,-55.33,547.63,0.00,0.65,2.44,71.70,0.21,6.79,1.80,2.44,71.70,0.21,27.16,2.50,2.44,71.70,0.21,5.61,1.00,1.80,45.00,0.35,0.00,1.62,1.80,45.00,0.35,0.00,1.56,1.80,45.00,0.35,38.03,1.51,0.95,1.15,0.43,42.63,1.57,0.95,1.15,0.43,9.52,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.99
13,R1,853.56,-33.11,546.49,0.00,0.65,2.44,71.70,0.21,6.79,1.80,2.44,71.70,0.21,27.17,2.50,2.44,71.70,0.21,11.82,2.50,1.80,45.00,0.35,33.86,1.51,0.95,1.15,0.43,42.64,1.57,0.95,1.15,0.43,9.58,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.13
14,R1,853.82,-11.04,547.63,0.00,0.65,2.44,71.70,0.21,6.79,1.80,2.44,71.70,0.21,27.16,2.50,2.44,71.70,0.21,6.61,2.20,1.03,2.95,0.35,3.00,2.50,1.80,45.00,0.35,34.28,1.51,0.95,1.15,0.43,42.63,1.57,0.95,1.15,0.43,9.52,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.13
15,R1,854.06,11.68,549.09,0.00,0.65,2.44,71.70,0.21,6.79,1.80,2.44,71.70,0.21,27.15,2.50,2.44,71.70,0.21,4.88,1.73,1.80,45.00,0.35,0.00,2.20,1.03,2.95,0.35,40.22,1.51,0.95,1.15,0.43,42.63,1.56,0.95,1.15,0.43,9.44,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.24
16,R1,854.68,30.98,546.49,0.00,0.66,2.44,71.70,0.21,6.79,1.80,2.44,71.70,0.21,27.18,2.50,2.44,71.70,0.21,11.82,2.50,1.80,45.00,0.35,34.98,1.51,0.95,1.15,0.43,42.63,1.57,0.95,1.15,0.43,9.58,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.67
17,R1,854.74,50.29,549.10,0.00,0.65,2.44,71.70,0.21,6.79,1.80,2.44,71.70,0.21,27.15,3.22,2.44,71.70,0.21,4.78,3.51,1.80,45.00,0.35,0.98,2.57,2.44,71.70,0.21,37.13,1.51,0.95,1.15,0.43,42.63,1.56,0.95,1.15,0.43,9.44,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.82
18,R1,855.09,75.27,549.90,0.00,0.65,2.44,71.70,0.21,6.78,1.80,2.44,71.70,0.21,27.15,2.50,2.44,71.70,0.21,11.81,2.50,1.80,45.00,0.35,35.84,1.51,0.95,1.15,0.43,42.63,1.56,0.95,1.15,0.43,9.40,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.30
19,R1,855.31,101.39,552.17,0.00,0.65,2.44,71.70,0.21,6.80,2.64,2.44,71.70,0.21,26.27,2.50,2.44,71.70,0.21,6.60,2.20,1.03,2.95,0.35,0.83,4.17,1.80,45.00,0.35,36.86,1.51,0.95,1.15,0.43,42.64,1.56,0.95,1.15,0.43,9.29,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.11
20,R1,855.84,125.24,551.03,0.00,0.65,2.44,71.70,0.21,6.78,1.80,2.44,71.70,0.21,25.11,4.19,2.44,71.70,0.21,6.95,2.20,1.03,2.95,0.35,3.00,2.50,1.80,45.00,0.35,39.45,2.27,0.95,1.15,0.43,13.05,5.66,0.95,1.15,0.43,31.34,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.97
21,R1,856.06,144.55,552.17,0.00,0.65,2.44,71.70,0.21,6.78,5.50,2.44,71.70,0.21,5.23,7.00,2.44,71.70,0.21,0.50,4.00,2.44,71.70,0.21,15.81,2.20,1.03,2.95,0.35,3.00,2.50,1.80,45.00,0.35,72.94,4.73,7.85,210.00,0.30,14.43,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.07
22,R1,850.48,-79.18,568.07,0.00,0.65,2.44,71.70,0.21,6.80,1.81,2.44,71.70,0.21,27.20,2.51,2.44,71.70,0.21,11.83,2.51,1.80,45.00,0.35,33.91,1.50,0.95,1.15,0.43,42.91,1.52,0.95,1.15,0.43,8.63,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.71
23,R1,850.64,-56.46,570.34,0.00,0.65,2.44,71.70,0.21,6.81,1.81,2.44,71.70,0.21,28.70,2.30,2.44,71.70,0.21,47.53,1.50,0.95,1.15,0.43,42.98,1.52,0.95,1.15,0.43,8.57,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.90
24,R1,850.92,-33.75,571.48,0.00,0.65,2.44,71.70,0.21,6.81,1.81,2.44,71.70,0.21,27.25,2.51,2.44,71.70,0.21,11.86,2.51,1.80,45.00,0.35,34.88,1.50,0.95,1.15,0.43,43.01,1.52,0.95,1.15,0.43,8.54,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.42
25,R1,851.16,-13.31,572.61,0.00,0.66,2.44,71.70,0.21,6.81,1.81,2.44,71.70,0.21,27.27,2.51,2.44,71.70,0.21,6.64,2.21,1.03,2.95,0.35,3.02,2.51,1.80,45.00,0.35,35.30,1.50,0.95,1.15,0.43,43.05,1.52,0.95,1.15,0.43,8.51,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.29
26,R1,851.57,3.73,571.48,0.00,0.65,2.44,71.70,0.21,6.81,1.81,2.44,71.70,0.21,27.25,2.51,2.44,71.70,0.21,6.63,2.21,1.03,2.95,0.35,3.01,2.51,1.80,45.00,0.35,35.65,1.65,0.95,1.15,0.43,42.74,1.52,0.95,1.15,0.43,8.54,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.22
27,R1,851.87,27.58,572.61,0.00,0.65,2.44,71.70,0.21,6.81,1.81,2.44,71.70,0.21,27.26,2.51,2.44,71.70,0.21,11.86,2.51,1.80,45.00,0.35,36.00,1.50,0.95,1.15,0.43,43.05,1.52,0.95,1.15,0.43,8.52,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.34
28,R1,852.11,48.02,573.75,0.00,0.66,2.44,71.70,0.21,6.82,1.81,2.44,71.70,0.21,12.19,17.60,2.44,71.70,0.21,50.81,1.50,0.95,1.15,0.43,43.08,1.51,0.95,1.15,0.43,8.49,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.60
29,R1,852.69,67.85,571.47,0.00,0.65,2.44,71.70,0.21,6.81,1.81,2.44,71.70,0.21,27.24,2.51,2.44,71.70,0.21,11.85,2.51,1.80,45.00,0.35,36.63,1.50,0.95,1.15,0.43,43.00,1.52,0.95,1.15,0.43,8.55,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.24
30,R1,852.86,91.17,573.75,0.00,0.65,2.44,71.70,0.21,6.82,1.81,2.44,71.70,0.21,27.28,2.51,2.44,71.70,0.21,6.64,2.21,1.03,2.95,0.35,3.02,2.51,1.80,45.00,0.35,37.17,1.50,0.95,1.15,0.43,43.08,1.51,0.95,1.15,0.43,8.50,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.03
31,R1,853.58,111.62,570.34,0.00,0.66,2.44,71.70,0.21,6.80,1.81,2.44,71.70,0.21,27.22,2.51,2.44,71.70,0.21,6.62,2.21,1.03,2.95,0.35,3.01,2.51,1.80,45.00,0.35,37.32,1.50,0.95,1.15,0.43,42.73,1.55,0.95,1.15,0.43,8.79,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.40
32,R1,853.48,133.71,574.88,0.00,0.65,2.44,71.70,0.21,6.82,1.81,2.44,71.70,0.21,19.81,4.49,2.44,71.70,0.21,11.36,2.52,1.03,2.95,0.35,3.50,2.52,1.80,45.00,0.35,92.57,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.54
33,R1,853.85,154.77,574.88,0.00,0.65,2.44,71.70,0.21,6.82,1.81,2.44,71.70,0.21,14.16,7.69,2.44,71.70,0.21,14.10,2.25,1.03,2.95,0.35,3.49,2.52,1.80,45.00,0.35,45.58,8.14,7.85,210.00,0.30,39.21,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.87
