x,y,z,Thickness_r1_1,r1P2_1,r1P3_1,Distance_r1_1,Thickness_r1_2,r1P2_2,r1P3_2,Distance_r1_2,Thickness_r1_3,r1P2_3,r1P3_3,Distance_r1_3,Thickness_r1_4,r1P2_4,r1P3_4,Distance_r1_4,Thickness_r1_5,r1P2_5,r1P3_5,Distance_r1_5,Thickness_r1_6,r1P2_6,r1P3_6,Distance_r1_6,Thickness_r1_7,r1P2_7,r1P3_7,Distance_r1_7,Thickness_r1_8,r1P2_8,r1P3_8,Distance_r1_8,Thickness_r1_9,r1P2_9,r1P3_9,Distance_r1_9,Thickness_r1_10,r1P2_10,r1P3_10,Distance_r1_10,Thickness_r2_1,r2P2_1,r2P3_1,Distance_r2_1,Thickness_r2_2,r2P2_2,r2P3_2,Distance_r2_2,Thickness_r2_3,r2P2_3,r2P3_3,Distance_r2_3,Thickness_r2_4,r2P2_4,r2P3_4,Distance_r2_4,Thickness_r2_5,r2P2_5,r2P3_5,Distance_r2_5,Thickness_r2_6,r2P2_6,r2P3_6,Distance_r2_6,Thickness_r2_7,r2P2_7,r2P3_7,Distance_r2_7,Thickness_r2_8,r2P2_8,r2P3_8,Distance_r2_8,Thickness_r2_9,r2P2_9,r2P3_9,Distance_r2_9,Thickness_r2_10,r2P2_10,r2P3_10,Distance_r2_10,A3MS
994.73,-101.74,682.59,2.073801955,71.7,0.21,0,2.08014156,71.7,0.21,0,0.051998103,,,0,1.724107751,,,2.76E-13,0.610891445,2.35,0.34,0,3.123341154,2.35,0.34,0,20.49566792,2.35,0.34,0,1.685183332,2.35,0.34,0,14.8629332,2.35,0.34,0,2.58960814,2.35,0.34,0,2.158538569,71.7,0.21,0,2.164651112,71.7,0.21,0,0.05410442,,,0,1.793776865,,,2.55E-13,0.63502989,2.35,0.34,0,3.248973315,2.35,0.34,0,20.47722685,2.35,0.34,0,1.705988404,2.35,0.34,0,16.52623138,2.35,0.34,0,0.284381949,2.35,0.34,0,52.3575
1089.26,-0.27,576.54,5.431298902,71.7,0.21,0,3.641198213,71.7,0.21,0,0.090761512,,,0,3.002347193,22.54,0.23,1.14E-13,1.068513436,2.35,0.34,0,5.388357814,2.35,0.34,0,26.25841522,2.35,0.34,0,2.557940184,2.35,0.34,0,9.977895408,2.35,0.34,0,1.734948914,2.35,0.34,0,3.153911903,71.7,0.21,0,2.128943038,71.7,0.21,0,0.053214529,,,0,1.170555446,2.35,0.34,0,0.593789554,,,0,3.980219437,2.35,0.34,0,0,,,0,3.18929947,2.35,0.34,0,10.0794195,2.35,0.34,0,4.563053436,2.35,0.34,0,49.8339
1065.73,104.42,599.56,4.285421971,71.7,0.21,0,3.109111547,71.7,0.21,0,0.077587334,,,0,2.568958336,,,0,0.911768957,2.35,0.34,0,2.319168792,2.35,0.34,0,29.84870784,2.35,0.34,0,6.587739205,2.35,0.34,0,19.26441398,2.35,0.34,0,3.637771212,2.35,0.34,0,2.936965422,71.7,0.21,0,2.138921976,71.7,0.21,0,0.053463232,,,0,1.772570865,,,0,8.420349962,2.35,0.34,0,5.751238207,2.35,0.34,0,27.69002688,2.35,0.34,0,2.65471513,2.35,0.34,0,2.783820783,,,0,8.912421347,,,0,54.4429
1107.21,155.48,536.03,5.225273046,0.25,0.45,1.520262345,2.245810461,3.1,0.32,6.746805257,8.293789274,3.1,0.32,2.515828278,3.068156524,3.1,0.32,3.461696811,3.392540493,2.95,0.35,4.15E-12,3.700953266,2.95,0.35,5.644581873,4.433436656,2.95,0.35,69.01971879,3.348227406,2.95,0.35,148.6020537,1.775633633,70,0.3,0.000814673,1.07E-10,70,0.3,0.00147019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4553
1253.47,121.41,485.94,208.8085172,2.35,0.34,0,4.060037404,2.35,0.34,0,7.853362092,2.35,0.34,0,5.614902144,2.35,0.34,0,4.862460232,2.35,0.34,0,1.800857818,2.35,0.34,0,17.3324148,2.35,0.34,0,1.977123673,2.35,0.34,0,47.36307938,,,0,5.331661401,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3312
1070.28,210.23,572.01,4.389965127,0.25,0.45,1.610229064,2.697665819,3.1,0.32,11.21593134,5.768359432,3.1,0.32,5.351254674,2.947857075,3.1,0.32,90.23482468,3.38514363,2.95,0.35,96.02403369,11.44863249,70,0.3,0,3,70,0.3,,,,,,,,,,,,,,4.229622641,0.25,0.45,1.597898826,2.738266331,3.1,0.32,12.37176284,1.878641391,3.1,0.32,9.439477911,2.739060512,0.25,0.45,1.214197684,9.15907444,2.45,0.33,,,,,,,,,,,,,,,,,,,,,,47.8678
1163.46,115.42,513.18,23.04306183,2.106,0.35,16.15416861,71.86914195,2.35,0.34,0,3.850920018,2.35,0.34,0,7.610315209,2.35,0.34,0,5.752048488,2.35,0.34,0,4.661439906,,,0,4.205103193,,,0,1.348782296,2.35,0.34,0,1.745364109,2.35,0.34,0,2.566277713,2.35,0.34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9938
1070.75,209.9,571.31,4.335194931,0.25,0.45,1.558403465,3.44249551,3.1,0.32,12.64710926,5.762800936,3.1,0.32,2.815176143,3.263448298,3.1,0.32,90.64147694,3.397652012,2.95,0.35,96.34799766,8.360359089,70,0.3,2.54E-13,1.500047765,70,0.3,0,1.64009922,70,0.3,0,3,70,0.3,,,,,,4.4393927,0.25,0.45,1.701471776,3.018364235,3.1,0.32,10.88188032,1.729638744,3.1,0.32,7.915440829,3.564570274,3.1,0.32,0.571171922,1.203831323,0.25,0.45,1.334964781,6.93847891,2.45,0.33,,,,,,,,,,,,,,,,,,42.2972
1163.51,115.32,513.16,23.20637133,2.106,0.35,15.43605097,72.39774023,2.35,0.34,0,3.846658712,2.35,0.34,0,7.685247846,2.35,0.34,0,5.752023149,2.35,0.34,0,4.662864988,,,0,4.215748253,,,0,1.349117433,2.35,0.34,0,1.745264495,2.35,0.34,0,2.563534075,2.35,0.34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0949
1070.6,210.03,571.58,4.392836406,0.25,0.45,1.577981642,3.059230393,3.1,0.32,12.16445934,5.754669461,3.1,0.32,3.905657966,3.072769247,3.1,0.32,90.47811755,3.392631079,2.95,0.35,96.21801615,11.4796954,70,0.3,0,3,70,0.3,,,,,,,,,,,,,,4.399124123,0.25,0.45,1.664348963,2.915109518,3.1,0.32,11.44105705,1.736991774,3.1,0.32,8.472370475,4.461788159,0.25,0.45,1.248225254,7.704754417,2.45,0.33,,,,,,,,,,,,,,,,,,,,,,44.637
1107.17,155.47,536.09,5.209635915,0.25,0.45,1.519632949,2.245079836,3.1,0.32,6.65879428,8.407591649,3.1,0.32,2.397647195,3.073709595,3.1,0.32,3.547407581,3.392060088,2.95,0.35,4.17E-12,3.700429187,2.95,0.35,5.536068704,4.434797489,2.95,0.35,69.1331635,3.347110328,2.95,0.35,148.5630438,1.775346366,70,0.3,0.000886655,1.07E-10,70,0.3,0.001474974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.4953
1107.17,155.47,536.09,5.209635915,0.25,0.45,1.519632949,2.245079836,3.1,0.32,6.65879428,8.407591649,3.1,0.32,2.397647195,3.073709595,3.1,0.32,3.547407581,3.392060088,2.95,0.35,4.17E-12,3.700429187,2.95,0.35,5.536068704,4.434797489,2.95,0.35,69.1331635,3.347110328,2.95,0.35,148.5630438,1.775346366,70,0.3,0.000886655,1.07E-10,70,0.3,0.001474974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5012
935.05,530.57,795.36,2.908373978,0.25,0.45,1.12975247,2.266769359,0.25,0.45,16.41768607,3.488590227,2.8,0.45,2.049222503,3.770510533,2.8,0.45,69.99806979,2.876081041,2.95,0.35,76.75490514,3.342132061,70,0.3,,,,,,,,,,,,,,,,,,2.90939657,0.25,0.45,1.130163608,2.267618259,0.25,0.45,16.4303007,3.490877399,2.8,0.45,2.055901558,3.719532104,2.8,0.45,69.953892,2.87407138,2.95,0.35,76.82886634,3.331178957,70,0.3,24.40769228,5.817337606,70,0.3,5.638927265,3.48111336,70,0.3,,,,,,,,,,49.4385
932.47,508.57,797.47,2.829523246,0.25,0.45,1.095586493,2.196373307,0.25,0.45,15.8826949,3.274720252,2.8,0.45,1.964601577,4.606295549,2.8,0.45,11.26370154,1.131150043,2.8,0.45,9.65E-13,1.867554373,2.8,0.45,0.715897269,6.455959626,2.8,0.45,2.729857711,2.053139028,2.8,0.45,48.15592098,3.107297818,2.95,0.35,63.12972873,3.178508042,70,0.3,,2.934078264,0.25,0.45,1.137515603,2.282916258,0.25,0.45,17.18642329,3.503424288,2.8,0.45,17.0216991,2.897694882,2.8,0.45,1.13E-12,1.982327037,2.8,0.45,3.243985393,4.19775559,2.8,0.45,1.85106919,1.985783377,2.8,0.45,37.6210424,2.862241178,2.95,0.35,83.57745173,2.711238852,70,0.3,,,,,,58.1672
929.61,490.14,799.33,2.73997119,0.25,0.45,1.078345401,2.160684821,0.25,0.45,15.83682901,4.503769014,2.8,0.45,1.497001787,1.697209939,2.8,0.45,4.977492285,4.066545668,2.8,0.45,7.834525593,3.940884862,2.8,0.45,2.244987172,1.528551064,2.8,0.45,26.66468011,3.406771775,2.95,0.35,82.91605272,3.064382388,70,0.3,,,,,,2.919336775,0.25,0.45,1.151361368,2.311194595,0.25,0.45,21.12172249,3.50874843,2.8,0.45,0.359133645,2.149751436,2.8,0.45,5.443590287,1.372831078,2.8,0.45,28.51596348,2.904101797,2.95,0.35,,,,,,,,,,,,,,,,,,53.0306
929.95,475.03,800.09,2.732237119,0.25,0.45,1.069287682,2.142120828,0.25,0.45,20.32594345,6.249484999,2.8,0.45,51.6668887,3.488313838,2.95,0.35,78.05712018,3.011259001,70,0.3,,,,,,,,,,,,,,,,,,,,,,2.930021538,0.25,0.45,1.149392139,2.307269086,0.25,0.45,8.547062764,2.72346276,0.25,0.45,52.33608052,2.900228698,2.95,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,51.0422
921.52,457.16,803.09,2.649268479,0.25,0.45,2.895254677,2.523880185,0.25,0.45,6.724221613,1.816856335,2.8,0.45,0.570346716,1.574655826,2.8,0.45,84.52940233,3.925525066,2.95,0.35,55.76587241,3,70,0.3,,,,,,,,,,,,,,,,,,2.951351041,0.25,0.45,3.239735983,3.279397304,0.25,0.45,8.098525179,0.93358532,0.25,0.45,25.88448084,3.626578562,2.8,0.45,30.8072231,2.931527365,2.95,0.35,,,,,,,,,,,,,,,,,,,,,,43.1243
915.01,435.32,804.94,2.032989719,0.25,0.45,4.179844266,2.148353831,0.25,0.45,11.51837696,4.898342529,2.8,0.45,8.495983473,4.924434238,2.8,0.45,3.979990598,2.597881855,2.8,0.45,5.168258238,2.666340629,2.8,0.45,44.87424556,4.026007263,2.95,0.35,59.59775489,3,70,0.3,,,,,,,,,,2.330644962,0.25,0.45,4.817861021,2.489893692,0.25,0.45,29.83231432,3.345820021,2.8,0.45,26.43497709,2.859998634,2.95,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,42.674
922.72,409.37,805.25,2.633537628,0.25,0.45,1.06866249,3.706089056,0.25,0.45,10.62224308,3.092098846,2.8,0.45,22.70864136,3.708897365,2.8,0.45,58.68398127,3.784861163,2.95,0.35,50.43185399,4.999729674,70,0.3,0,3,70,0.3,,,,,,,,,,,,,,2.937493564,0.25,0.45,1.195527983,4.450534454,0.25,0.45,13.36239911,7.783222765,2.8,0.45,12.38116084,4.838305163,2.8,0.45,33.45644765,2.864905063,2.95,0.35,,,,,,,,,,,,,,,,,,,,,,45.7605
925.62,385.08,805.77,2.64618919,0.25,0.45,1.066808918,2.136422619,0.25,0.45,10.99792265,3.119315161,2.8,0.45,6.58145655,4.927089697,2.8,0.45,11.62432203,1.87064376,2.8,0.45,1.247096404,1.247096855,2.8,0.45,1.247097308,1.863089605,2.8,0.45,35.63244835,3.713599367,2.95,0.35,77.54481903,3,70,0.3,,,,,,2.926093146,0.25,0.45,1.182964411,2.374852203,0.25,0.45,13.84844897,3.764572231,2.8,0.45,7.151480732,11.2142015,2.8,0.45,24.03343096,2.864496755,2.95,0.35,216.9475756,4.932185407,3.1,0.32,53.63690652,4.92440531,3.1,0.32,,,,,,,,,,,,,,47.6185
927.44,360.87,806.49,2.669632748,0.25,0.45,1.065464973,2.133695679,0.25,0.45,10.09687836,3.133525185,2.8,0.45,6.860735785,3.180085092,2.8,0.45,1.899990974,4.476895411,2.8,0.45,7.081720973,1.87915989,2.8,0.45,1.252773451,1.252773605,2.8,0.45,1.252773759,1.87916093,2.8,0.45,39.53564962,3.67776121,2.95,0.35,75.7469863,3,70,0.3,,2.939918504,0.25,0.45,1.176524111,2.361666253,0.25,0.45,12.72036194,3.768015383,2.8,0.45,46.79384674,2.861787215,2.95,0.35,214.9868534,4.93671506,3.1,0.32,54.5750206,4.919909623,3.1,0.32,,,,,,,,,,,,,,,,,,44.8155
927.66,336.77,807.53,2.659191921,0.25,0.45,1.064922792,2.132509707,0.25,0.45,8.103359255,2.921970522,2.8,0.45,8.957982745,3.17470401,2.8,0.45,3.467559021,4.487180081,2.8,0.45,5.406507183,1.876036281,2.8,0.45,9.981195623,1.655330878,2.8,0.45,35.39437145,3.690367255,2.95,0.35,75.0884741,3,70,0.3,,,,,,2.935024641,0.25,0.45,1.178555061,2.365605244,0.25,0.45,6.194781888,2.652793487,2.8,0.45,55.32126686,2.856147104,2.95,0.35,216.1315796,4.946230925,3.1,0.32,52.18670513,5.744063243,3.1,0.32,,,,,,,,,,,,,,,,,,57.328
928.79,310.33,808.4,2.653177204,0.25,0.45,1.064110335,2.130817892,0.25,0.45,9.65044582,2.482617513,2.8,0.45,7.522431725,3.168495061,2.8,0.45,6.677083454,4.466411654,2.8,0.45,0.053853542,1.503681043,2.8,0.45,2.163168878,5.010897896,2.8,0.45,2.782882781,1.877423168,2.8,0.45,40.8114654,30.65500318,2.95,0.35,46.74003334,3,70,0.3,,2.92504831,0.25,0.45,1.176226968,2.360719221,0.25,0.45,11.45605394,3.781232508,2.8,0.45,26.04023401,2.187370882,2.8,0.45,2.610397088,3.661688484,2.8,0.45,2.133811498,2.001521569,2.8,0.45,12.6077499,23.78264713,2.95,0.35,194.5698232,4.953294404,3.1,0.32,51.61811061,4.903664078,3.1,0.32,,,,,,43.6007
929.29,295.75,808.89,2.652743449,0.25,0.45,1.063750704,2.130060714,0.25,0.45,9.967289889,2.63253078,2.8,0.45,6.949476953,3.157083974,2.8,0.45,8.195852649,2.975938546,2.8,0.45,5.01779159,1.253733471,2.8,0.45,1.253733698,3.722492573,2.8,0.45,8.067531949,2.643406471,2.8,0.45,60.07298423,3.670900939,2.95,0.35,46.6724991,3,70,0.3,,2.924067337,0.25,0.45,1.175592007,2.359342827,0.25,0.45,11.06267434,3.784421296,2.8,0.45,12.66872972,9.619330947,2.8,0.45,1.984581597,3.853289154,2.8,0.45,0.277785609,4.538825833,2.8,0.45,40.24588663,2.848967646,2.95,0.35,194.8926938,4.957400539,3.1,0.32,49.34203259,4.400840816,40038,0,1.303336077,0.923348325,40038,0,0.02055647,45.1667
931.03,276.54,809.1,2.545965918,0.25,0.45,1.052363771,2.120361009,0.25,0.45,10.59936318,2.844608921,2.8,0.45,5.67602373,3.151103264,2.8,0.45,12.22279622,3.831404585,2.8,0.45,79.52672411,3.630586083,2.95,0.35,46.05067937,3,70,0.3,,,,,,,,,,,,,,2.771719217,0.25,0.45,1.161883163,2.340577457,0.25,0.45,10.44738699,3.287694614,2.8,0.45,2.208742637,1.575035251,2.8,0.45,5.928336267,5.715760215,2.8,0.45,8.594340609,2.639938166,2.8,0.45,2.152778935,3.834173681,2.8,0.45,44.60875324,2.857769777,2.95,0.35,,,,,,,,,,43.3691
934.3,254.48,808.5,2.797458934,0.25,0.45,1.002880796,2.008553249,0.25,0.45,1.006845948,7.954648958,2.8,0.45,2.886644798,4.962287809,2.8,0.45,3.445375472,0.123549192,2.8,0.45,2.32433956,12.0476025,2.8,0.45,5.348192444,0.244851381,2.8,0.45,2.159260523,0.102456192,2.8,0.45,1.811667112,52.27750921,2.95,0.35,3.543567381,68.58307358,70,0.3,3,2.811485155,0.25,0.45,1.01064826,2.033463655,0.25,0.45,1.028476923,9.662227472,2.8,0.45,3.481426576,8.7197279,2.8,0.45,1.721064005,7.543906142,2.8,0.45,3.596661168,0.961783259,2.8,0.45,3.690779274,4.24344519,2.8,0.45,5.686383495,2.987898773,2.8,0.45,2.768084455,22.8331725,2.95,0.35,2.930866367,64.94039549,1.15,0.43,1.817086802,45.0582
933.62,224.08,809.84,2.740316709,0.25,0.45,1.001808053,2.005336033,0.25,0.45,1.004298242,8.002864812,2.8,0.45,2.888140726,5.443268242,2.8,0.45,3.30401165,41.36033791,2.8,0.45,3.744023642,6.32370737,2.8,0.45,1.361147133,93.78585816,70,0.3,1.50045489,0.869031468,70,0.3,3,38.83382797,70,0.3,,,,,,2.76538969,0.25,0.45,1.01590264,2.050396399,0.25,0.45,1.042748182,9.823343848,2.8,0.45,3.393505507,3.759957399,2.8,0.45,3.259821962,0.749080142,2.8,0.45,3.561753362,43.10510447,2.8,0.45,1.262150859,3.499664282,2.8,0.45,2.96356363,65.9186237,1.15,0.43,3.217461833,39.32345868,1.15,0.43,2.253706107,,,,,46.4511
934.89,204.86,808.94,2.678555925,0.25,0.45,1.044759259,2.118134793,0.25,0.45,1.076350896,6.623887216,2.8,0.45,2.602839633,1.283315645,2.8,0.45,0.889376999,2.346015313,2.8,0.45,3.75091118,14.34880042,2.8,0.45,6.049044924,21.0663472,2.8,0.45,3.779529733,74.19637155,1.15,0.43,3.379406936,15.71234825,1.15,0.43,2.066636066,7.951660369,70,0.3,1.500706425,2.607307694,0.25,0.45,1.007273563,2.019812278,0.25,0.45,1.013694268,7.706875758,2.8,0.45,3.196059386,5.201883793,2.8,0.45,2.908019047,0.579119685,2.8,0.45,2.60206803,46.97479756,2.8,0.45,7.205666972,44.38717254,1.15,0.43,1.717314423,56.05012739,1.15,0.43,2.205438924,,,,,,,,,49.7722
