x,y,z,Thickness_r1_1,r1P2_1,r1P3_1,Distance_r1_1,Thickness_r1_2,r1P2_2,r1P3_2,Distance_r1_2,Thickness_r1_3,r1P2_3,r1P3_3,Distance_r1_3,Thickness_r1_4,r1P2_4,r1P3_4,Distance_r1_4,Thickness_r1_5,r1P2_5,r1P3_5,Distance_r1_5,Thickness_r1_6,r1P2_6,r1P3_6,Distance_r1_6,Thickness_r1_7,r1P2_7,r1P3_7,Distance_r1_7,Thickness_r1_8,r1P2_8,r1P3_8,Distance_r1_8,Thickness_r1_9,r1P2_9,r1P3_9,Distance_r1_9,Thickness_r1_10,r1P2_10,r1P3_10,Distance_r1_10,Thickness_r2_1,r2P2_1,r2P3_1,Distance_r2_1,Thickness_r2_2,r2P2_2,r2P3_2,Distance_r2_2,Thickness_r2_3,r2P2_3,r2P3_3,Distance_r2_3,Thickness_r2_4,r2P2_4,r2P3_4,Distance_r2_4,Thickness_r2_5,r2P2_5,r2P3_5,Distance_r2_5,Thickness_r2_6,r2P2_6,r2P3_6,Distance_r2_6,Thickness_r2_7,r2P2_7,r2P3_7,Distance_r2_7,Thickness_r2_8,r2P2_8,r2P3_8,Distance_r2_8,Thickness_r2_9,r2P2_9,r2P3_9,Distance_r2_9,Thickness_r2_10,r2P2_10,r2P3_10,Distance_r2_10,A3MS
911.63,537.83,750.76,3.183095094,69,0.22,1.375863757,2.476557896,69,0.22,11.69487296,3.714836844,69,0.22,3.719996813,9.350722863,69,0.22,2.55E-06,6.858367748,69,0.22,9.153702123,0,0.1,0.45,0,0,0.1,0.45,3.458402097,0,0.1,0.45,0,1.14E-13,0.1,0.45,2.767457206,0,2.95,0.35,0,3.446372561,69,0.22,1.489663036,2.681396856,69,0.22,12.66216939,7.737109307,69,0.22,0.41570673,2.331989535,69,0.22,7.003068021,0.686037446,69,0.22,1.489663141,0.626151771,69,0.22,15.22063292,0,0.1,0.45,0,4.95E-12,0.1,0.45,2.107528686,0,0.1,0.45,0,0,0.1,0.45,4.633278647,68.02
912.56,544.46,738.46,2.572330469,69,0.22,1.317299783,2.371142609,69,0.22,25.13798555,2.130167548,69,0.22,3.76E-07,6.58650634,69,0.22,8.144575769,0,0.1,0.45,0,0,0.1,0.45,3.295239083,0,0.1,0.45,1.61E-13,1.14E-13,0.1,0.45,2.636268609,0,2.95,0.35,0,0,2.95,0.35,3.295439969,2.971661444,69,0.22,1.521798627,2.739240995,69,0.22,31.50128519,7.187445123,69,0.22,9.830506038,0,0.1,0.45,0,1.14E-13,0.1,0.45,2.660735904,0,0.1,0.45,0,0,0.1,0.45,2.629558828,0,2.95,0.35,0,0,2.95,0.35,3.882811566,0,2.95,0.35,0,72.0194
913.29,551.84,728.95,2.1683546,69,0.22,1.287113444,2.31680713,69,0.22,11.07312136,8.925824192,69,0.22,25.41681336,0,2.95,0.35,0,0,2.95,0.35,4.557573352,0,2.95,0.35,0,0,2.95,0.35,12.94199327,0.635341379,2.2,0.36,0,1.15852001,2.2,0.36,30.56686909,4.72593873,2.2,0.36,22.25549207,2.607337504,69,0.22,1.547689273,2.785844215,69,0.22,13.44349821,4.448798706,69,0.22,73.00078869,2.490555174,2.2,0.36,20.34304998,3.109335503,2.2,0.36,118.3852868,2.129156051,11.442,0.35,0.996524423,8.693884359,2.45,0.33,3.024474237,1.092428281,0.1,0.07,144.2066689,2.840179725,2.45,0.33,130.0170656,2.385386838,2.3,0.4,0,62.526
914.13,543.24,719.94,1.984539941,69,0.22,1.257421479,2.263361525,69,0.22,1.079680504,3.231328433,69,0.22,15.14162115,4.516247252,69,0.22,20.55614461,0,2.95,0.35,0,0,2.95,0.35,0.850674074,0,2.95,0.35,0,0,2.95,0.35,51.20950114,2.130029747,2.2,0.36,15.06353808,5.141380321,2.6,0.4,66.69436514,2.482840827,69,0.22,1.573149182,3.780862125,69,0.22,15.59136901,3.70593992,69,0.22,204.7447988,4.080770745,0.1,0.07,4.910083958,0.529700809,0.1,0.07,2.467254604,0.147438801,0.1,0.07,144.642635,2.899429342,2.45,0.33,115.4566559,11.98782165,2.3,0.4,0,2.885121205,2.3,0.4,0,0,0,0,0,54.478
913.26,535.63,730.59,2.359386412,69,0.22,1.291925406,2.325468673,69,0.22,11.8501109,3.007062902,69,0.22,14.71375909,3.631602992,69,0.22,10.23959896,0,2.95,0.35,0,0,2.95,0.35,2.077247513,0,2.95,0.35,0,0,2.95,0.35,2.446866877,0,2.95,0.35,0,1.14E-13,2.95,0.35,3.258855156,2.818250317,69,0.22,1.543184773,2.777736106,69,0.22,7.125334871,5.167601574,69,0.22,2.397022943,3.056703287,69,0.22,10.80230708,3.200996174,69,0.22,0.194011131,1.767479563,69,0.22,16.58126989,0,0.1,0.45,0,0,0.1,0.45,3.889428549,0,0.1,0.45,0,0,0.1,0.45,1.152074839,63.2711
912.46,529.43,741.09,2.85472494,69,0.22,1.341387807,2.414501106,69,0.22,24.81571914,2.002120893,69,0.22,18.22323212,0,0.1,0.45,0,1.14E-13,0.1,0.45,3.416839531,0,0.1,0.45,1.61E-13,1.14E-13,0.1,0.45,11.25308725,1.61E-13,2.95,0.35,0,0,2.95,0.35,4.730274172,0,2.95,0.35,0,3.22384196,69,0.22,1.51482976,2.726697017,69,0.22,34.50740486,4.423782173,69,0.22,11.93371323,0,0.1,0.45,0,1.14E-13,0.1,0.45,3.858638207,4.69E-13,0.1,0.45,1.14E-13,3.22E-13,0.1,0.45,10.30625728,0,2.95,0.35,0,0,2.95,0.35,3.378088926,0,2.95,0.35,0,67.5649
911.72,523.92,751.24,3.413984073,69,0.22,1.391641976,2.504958725,69,0.22,11.82898817,3.757438088,69,0.22,13.42468004,6.754152996,69,0.22,12.67358513,2.27E-13,0.1,0.45,0,0,0.1,0.45,6.827492229,0,0.1,0.45,0,0,0.1,0.45,10.76000205,0,2.95,0.35,0,0,2.95,0.35,2.680645286,3.651528326,69,0.22,1.488472115,2.679253196,69,0.22,12.65204654,4.018879795,69,0.22,3.922034452,10.06980676,69,0.22,0.148660866,7.44236867,69,0.22,13.55541157,7.63E-13,0.1,0.45,2.27E-13,1.14E-13,0.1,0.45,3.842450744,5.08E-13,0.1,0.45,3.41E-13,1.14E-13,0.1,0.45,13.7495185,0,2.95,0.35,0,60.1183
912.64,519.86,740.28,2.991253999,69,0.22,1.345875692,2.42257931,69,0.22,11.43997373,16.08519017,69,0.22,0.334512026,6.729385998,69,0.22,13.7186609,2.78E-13,0.1,0.45,1.61E-13,0,0.1,0.45,3.4637176,0,0.1,0.45,0,2.27E-13,0.1,0.45,11.03170763,0,2.95,0.35,0,0,2.95,0.35,3.643583616,3.371605883,69,0.22,1.517010058,2.730621558,69,0.22,14.33320214,2.230904302,69,0.22,5.268440277,9.028054459,69,0.22,0.567623759,3.17445006,69,0.22,19.84760027,1.14E-13,0.1,0.45,0,0,0.1,0.45,3.904145452,0,0.1,0.45,0,1.97E-13,0.1,0.45,12.97767712,0,2.95,0.35,0,61.4015
913.51,526.32,728.78,2.434655056,69,0.22,1.291121619,2.324021855,69,0.22,26.72626274,6.455615416,69,0.22,11.0135091,1.61E-13,0.1,0.45,0,0,0.1,0.45,3.312106353,2.27E-13,0.1,0.45,1.14E-13,3.41E-13,0.1,0.45,12.05108348,0,2.95,0.35,0,2.78E-13,2.95,0.35,3.038527906,0,2.95,0.35,0,2.919463914,69,0.22,1.548220545,2.786800506,69,0.22,9.82676706,2.11888814,69,0.22,13.54836281,3.696927886,69,0.22,23.80499672,3.41E-13,0.1,0.45,1.61E-13,3.22E-13,0.1,0.45,3.971640686,4.25E-13,0.1,0.45,2.54E-13,2.78E-13,0.1,0.45,7.674623829,0,2.95,0.35,9.78E-13,9.78E-13,2.95,0.35,5.630443394,60.3507
914.88,522.51,713.55,2.06147816,69,0.22,1.244691481,2.2404475,69,0.22,12.01095473,4.214777608,69,0.22,16.34679377,3.580241132,69,0.22,7.630680537,1.14E-13,0.1,0.45,1.34E-11,4.69E-13,0.1,0.45,3.226163669,0,0.1,0.45,1.61E-13,8.73E-13,0.1,0.45,7.539558627,0,2.95,0.35,1.61E-13,1.14E-13,2.95,0.35,2.707398248,2.636368489,69,0.22,1.591802166,2.865247523,69,0.22,13.5303543,4.297871284,69,0.22,4.111662375,3.388448867,69,0.22,44.64078978,0,2.95,0.35,0,0,2.95,0.35,3.979510485,0,2.95,0.35,0,0,2.95,0.35,8.051370452,0,0.1,0.07,0,0,0.1,0.07,15.86828225,73.6435
