x,y,z,Thickness_r1_1,r1P2_1,r1P3_1,Distance_r1_1,Thickness_r1_2,r1P2_2,r1P3_2,Distance_r1_2,Thickness_r1_3,r1P2_3,r1P3_3,Distance_r1_3,Thickness_r1_4,r1P2_4,r1P3_4,Distance_r1_4,Thickness_r1_5,r1P2_5,r1P3_5,Distance_r1_5,Thickness_r1_6,r1P2_6,r1P3_6,Distance_r1_6,Thickness_r1_7,r1P2_7,r1P3_7,Distance_r1_7,Thickness_r1_8,r1P2_8,r1P3_8,Distance_r1_8,Thickness_r1_9,r1P2_9,r1P3_9,Distance_r1_9,Thickness_r1_10,r1P2_10,r1P3_10,Distance_r1_10,Thickness_r2_1,r2P2_1,r2P3_1,Distance_r2_1,Thickness_r2_2,r2P2_2,r2P3_2,Distance_r2_2,Thickness_r2_3,r2P2_3,r2P3_3,Distance_r2_3,Thickness_r2_4,r2P2_4,r2P3_4,Distance_r2_4,Thickness_r2_5,r2P2_5,r2P3_5,Distance_r2_5,Thickness_r2_6,r2P2_6,r2P3_6,Distance_r2_6,Thickness_r2_7,r2P2_7,r2P3_7,Distance_r2_7,Thickness_r2_8,r2P2_8,r2P3_8,Distance_r2_8,Thickness_r2_9,r2P2_9,r2P3_9,Distance_r2_9,Thickness_r2_10,r2P2_10,r2P3_10,Distance_r2_10,A3MS
853.01,-78.04,544.22,0.65,71.7,0.21,34.88,3.26,71.7,0.21,12,2.51,45,0.35,33.03,1.52,1.15,0.43,42.65,1.58,1.15,0.43,9.71,1.5,210,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,71.7,0.21,16.9,3.55,71.7,0.21,2.01,4.93,71.7,0.21,5.12,2.63,71.7,0.21,8.93,2.53,2.4,0.4,1.61,2.22,2.4,0.4,4.2,4.82,2.4,0.4,0,2.33,2.4,0.4,57.03,3.6,2.4,0.4,1.34,4.41,2.4,0.4,0.61,44.23
853.05,-55.33,547.63,0.65,71.7,0.21,6.79,1.8,71.7,0.21,27.16,2.5,71.7,0.21,5.61,1,45,0.35,0,1.62,45,0.35,0,1.56,45,0.35,38.03,1.51,1.15,0.43,42.63,1.57,1.15,0.43,9.52,1.5,210,0.3,0,0,0,0,0,1.27,71.7,0.21,13.25,3.52,71.7,0.21,6.24,4.16,71.7,0.21,7.35,2.84,71.7,0.21,9.18,2.61,2.4,0.4,4.59,4.22,2.4,0.4,5.06,2.75,2.4,0.4,57.1,4.55,2.4,0.4,1.21,4.03,2.4,0.4,0,0,0,0,0,42.99
853.56,-33.11,546.49,0.65,71.7,0.21,6.79,1.8,71.7,0.21,27.17,2.5,71.7,0.21,11.82,2.5,45,0.35,33.86,1.51,1.15,0.43,42.64,1.57,1.15,0.43,9.58,1.5,210,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,71.7,0.21,13.28,3.53,71.7,0.21,5.74,4.7,71.7,0.21,6.65,2.79,71.7,0.21,9.08,2.58,2.4,0.4,2.6,2.33,2.4,0.4,0.4,4.79,2.4,0.4,3.16,2.85,2.4,0.4,57.05,6.3,2.4,0.4,1.21,3.98,2.4,0.4,0,50.13
853.82,-11.04,547.63,0.65,71.7,0.21,6.79,1.8,71.7,0.21,27.16,2.5,71.7,0.21,6.61,2.2,2.95,0.35,3,2.5,45,0.35,34.28,1.51,1.15,0.43,42.63,1.57,1.15,0.43,9.52,1.5,210,0.3,0,0,0,0,0,0,0,0,0,1.27,71.7,0.21,13.25,3.52,71.7,0.21,6.25,4.16,71.7,0.21,7.37,2.84,71.7,0.21,9.19,2.62,2.4,0.4,4.59,4.21,2.4,0.4,5.07,2.75,2.4,0.4,3.37,6.85,2.4,0.4,0.26,25.86,2.4,0.4,0.77,24.53,2.4,0.4,1.21,48.13
854.06,11.68,549.09,0.65,71.7,0.21,6.79,1.8,71.7,0.21,27.15,2.5,71.7,0.21,4.88,1.73,45,0.35,0,2.2,2.95,0.35,40.22,1.51,1.15,0.43,42.63,1.56,1.15,0.43,9.44,1.5,210,0.3,0,0,0,0,0,0,0,0,0,1.26,71.7,0.21,13.2,3.51,71.7,0.21,7.15,3.22,71.7,0.21,8.25,2.87,71.7,0.21,9.31,2.67,2.4,0.4,14.54,2.76,2.4,0.4,1.1,6.85,2.4,0.4,0.52,28.23,2.4,0.4,0.77,21.97,2.4,0.4,1.2,4.01,2.4,0.4,0,41.24
854.68,30.98,546.49,0.66,71.7,0.21,6.79,1.8,71.7,0.21,27.18,2.5,71.7,0.21,11.82,2.5,45,0.35,34.98,1.51,1.15,0.43,42.63,1.57,1.15,0.43,9.58,1.5,210,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,71.7,0.21,13.28,3.53,71.7,0.21,5.73,4.7,71.7,0.21,6.65,2.79,71.7,0.21,9.08,2.58,2.4,0.4,2.6,2.33,2.4,0.4,0.4,4.79,2.4,0.4,3.16,2.85,2.4,0.4,57.05,6.31,2.4,0.4,1.21,3.97,2.4,0.4,5.03,44.67
854.74,50.29,549.1,0.65,71.7,0.21,6.79,1.8,71.7,0.21,27.15,3.22,71.7,0.21,4.78,3.51,45,0.35,0.98,2.57,71.7,0.21,37.13,1.51,1.15,0.43,42.63,1.56,1.15,0.43,9.44,1.5,210,0.3,0,0,0,0,0,0,0,0,0,1.27,71.7,0.21,13.2,3.51,71.7,0.21,7.15,3.22,71.7,0.21,8.24,2.87,71.7,0.21,9.31,2.67,2.4,0.4,3.85,2.56,2.4,0.4,8.13,2.76,2.4,0.4,57.14,2.32,2.4,0.4,1.2,4.01,2.4,0.4,0,0,0,0,0,45.82
855.09,75.27,549.9,0.65,71.7,0.21,6.78,1.8,71.7,0.21,27.15,2.5,71.7,0.21,11.81,2.5,45,0.35,35.84,1.51,1.15,0.43,42.63,1.56,1.15,0.43,9.4,1.5,210,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,71.7,0.21,13.18,3.5,71.7,0.21,7.73,2.75,71.7,0.21,8.57,2.88,71.7,0.21,9.35,2.71,2.4,0.4,14.96,2.76,2.4,0.4,57.15,1.11,2.4,0.4,1.2,4.01,2.4,0.4,0.63,1.75,210,0.3,0,0,0,0,0,45.3
855.31,101.39,552.17,0.65,71.7,0.21,6.8,2.64,71.7,0.21,26.27,2.5,71.7,0.21,6.6,2.2,2.95,0.35,0.83,4.17,45,0.35,36.86,1.51,1.15,0.43,42.64,1.56,1.15,0.43,9.29,1.5,210,0.3,0,0,0,0,0,0,0,0,0,1.26,71.7,0.21,13.11,3.48,71.7,0.21,9.46,2.58,71.7,0.21,8.27,2.91,71.7,0.21,9.39,2.84,2.4,0.4,16.23,6.09,2.4,0.4,2.23,3.02,2.4,0.4,5.17,2.93,2.4,0.4,0,27.44,2.4,0.4,0,2.59,2.4,0.4,1.6,43.11
855.84,125.24,551.03,0.65,71.7,0.21,6.78,1.8,71.7,0.21,25.11,4.19,71.7,0.21,6.95,2.2,2.95,0.35,3,2.5,45,0.35,39.45,2.27,1.15,0.43,13.05,5.66,1.15,0.43,31.34,1.5,210,0.3,0,0,0,0,0,0,0,0,0,1.25,71.7,0.21,13.15,3.49,71.7,0.21,8.6,2.58,71.7,0.21,8.46,2.9,71.7,0.21,9.39,2.76,2.4,0.4,5.07,2.57,2.4,0.4,0.93,0.59,2.4,0.4,6.47,5.23,2.4,0.4,55.35,3.94,2.4,0.4,6.51,2.35,2.4,0.4,0,38.97
